Number of Trials,simple2.c Time (ms),simple2.c Result,simple2_intrinsics.c Time (ms),simple2_intrinsics.c Result
100000,510,419451381762.39435,285,419451381761.49255
200000,979,838902763525.0896,546,838902763524.1859
300000,1451,1258354145287.785,876,1258354145286.889
400000,2170,1677805527050.4802,1148,1677805527049.5842
500000,2664,2097256908813.1755,1419,2097256908812.2795
600000,3192,2516708290557.38,1697,2516708290575.0063
700000,3647,2936159672295.661,1965,2936159672337.701
800000,4114,3355611054033.9424,2268,3355611054100.3965
900000,4707,3775062435772.2236,2546,3775062435863.092
1000000,5135,4194513817510.505,2782,4194513817625.787